,similarity
0,0.7837556600570679
1,0.9222082495689392
2,0.6704404950141907
3,0.9518345594406128
4,0.47315412759780884
5,0.8254120945930481
6,0.7560158371925354
7,0.954362690448761
8,1.0094618797302246
9,0.8892484903335571
10,0.5994475483894348
11,0.5760160088539124
12,0.9005666375160217
13,0.9568997025489807
14,0.5615711808204651
15,0.6172592639923096
16,0.4720138609409332
17,0.7277700304985046
18,0.5661471486091614
19,0.5629714727401733
20,0.4804900586605072
21,0.871627151966095
22,0.813265323638916
23,0.6013005375862122
24,0.5327206254005432
25,0.9477384090423584
26,0.9796225428581238
27,0.7450429201126099
28,0.7954047918319702
29,0.9310837388038635
30,0.6159922480583191
31,0.5289224982261658
32,0.8395496606826782
33,0.8557690382003784
34,0.7451422810554504
35,0.8125248551368713
36,0.7709571123123169
37,0.6094832420349121
38,0.4365895986557007
39,0.8783769607543945
40,0.8305162191390991
41,0.6307473182678223
42,0.5206114649772644
43,0.9511160254478455
44,0.8907122015953064
45,0.6580871343612671
46,0.6212459206581116
47,0.6139007210731506
48,0.9068332314491272
49,0.8187710642814636
50,1.0636507272720337
51,0.8997241258621216
52,0.7058203220367432
53,0.5166921019554138
54,0.5763768553733826
55,1.1762142181396484
56,0.7119535207748413
57,0.5104076266288757
58,0.957252562046051
59,0.7064645886421204
60,0.909727156162262
61,0.7504212260246277
62,0.5189518928527832
63,0.7924351096153259
64,0.516693115234375
65,0.6387479901313782
66,1.0145083665847778
67,0.6178640723228455
68,1.0011496543884277
69,0.7182549834251404
70,0.6550922393798828
71,0.7123264670372009
72,0.9577846527099609
73,0.77472323179245
74,0.961621105670929
75,0.5327206254005432
76,0.7481501698493958
77,0.4511108100414276
78,1.0217386484146118
79,0.6635327339172363
80,0.47716614603996277
81,0.824941098690033
82,0.579375147819519
83,0.55177241563797
84,0.6910213232040405
85,1.4048535823822021
86,0.869350254535675
87,0.9775904417037964
88,0.7905142903327942
89,0.894016683101654
90,0.4795568585395813
91,1.369674801826477
92,0.7060499787330627
93,0.6593891382217407
94,0.32690924406051636
95,0.7371978759765625
96,0.5166472792625427
97,1.0829699039459229
98,0.7403337955474854
99,0.6230601668357849
100,1.3681385517120361
101,1.0751540660858154
102,1.338047742843628
103,1.376291036605835
104,1.4707907438278198
105,1.2277812957763672
106,1.1452348232269287
107,1.239261269569397
108,1.24904465675354
109,1.337600827217102
110,1.3896445035934448
111,1.39220130443573
112,1.39220130443573
113,0.9184718728065491
114,1.2082273960113525
115,1.2915196418762207
116,1.1056451797485352
117,1.2135132551193237
118,1.2135132551193237
119,1.2285542488098145
120,1.1121869087219238
121,1.2550523281097412
122,1.4173071384429932
123,1.331655502319336
124,1.501070499420166
125,1.2711007595062256
126,1.4238011837005615
127,1.1076264381408691
128,1.2835583686828613
129,1.2689857482910156
130,1.0206016302108765
131,1.3471049070358276
132,1.2448780536651611
133,1.2202082872390747
134,1.3858017921447754
135,1.2971585988998413
136,1.378599762916565
137,1.4780300855636597
138,1.2866452932357788
139,1.2026751041412354
140,1.416839361190796
141,1.0052114725112915
142,1.3572288751602173
143,1.222947597503662
144,1.5240598917007446
145,1.4366251230239868
146,1.2430663108825684
147,1.3989250659942627
148,1.4516863822937012
149,1.2558526992797852
150,1.2476131916046143
151,1.1794946193695068
152,1.2131984233856201
153,1.3693910837173462
154,1.2987438440322876
155,1.0622295141220093
156,1.2379471063613892
157,1.3266186714172363
158,1.2576751708984375
159,1.4781084060668945
160,1.304701805114746
161,1.220813274383545
162,1.398514986038208
163,1.1555719375610352
164,1.1082464456558228
165,1.2935689687728882
166,1.2078355550765991
167,1.1161257028579712
168,1.427036166191101
169,1.2088651657104492
170,1.32245671749115
171,1.2793956995010376
172,1.3785886764526367
173,1.3659588098526
174,1.2786625623703003
175,1.2524302005767822
176,0.9865120053291321
177,1.2293788194656372
178,1.2634618282318115
179,1.3098515272140503
180,1.2613372802734375
181,1.34918212890625
182,1.2346199750900269
183,1.1304051876068115
184,1.461719274520874
185,1.3825407028198242
186,0.9761620163917542
187,1.127916693687439
188,1.215745449066162
189,1.2574187517166138
190,1.265260100364685
191,1.5077688694000244
192,1.141650915145874
193,1.4607280492782593
194,1.2098047733306885
195,1.397544503211975
196,1.24286949634552
197,1.256874918937683
198,1.4661149978637695
199,1.3831413984298706
